item,serial_number,Model,appraisal_value,item_description,category,remarks
clear-thinking,5959263203,adapter,17857,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper,5,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et
Integrated,4558893558,mission-critical,17677,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec,4,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
support,8391836762,access,22018,vestibulum velit id pretium iaculis diam erat fermentum justo nec,3,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean
project,5967143475,core,28617,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque,5,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit
tertiary,4854946687,matrix,18621,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla,4,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo
local area network,1531500935,ability,31021,libero nam dui proin leo odio porttitor id consequat in consequat ut,3,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim
responsive,2713497795,throughput,46962,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu,1,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend
exuding,4482629995,24/7,44625,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem,5,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis
model,9158098690,dedicated,35423,ante ipsum primis in faucibus orci luctus et ultrices posuere,1,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis
attitude,2482701074,web-enabled,32300,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,1,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio
zero administration,0838405711,Realigned,21695,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,4,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et
User-centric,9973733509,static,2984,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo,2,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam
Synchronised,6780099643,incremental,18261,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum,1,est lacinia nisi venenatis tristique fusce congue diam id ornare
Optimized,1472914147,structure,5779,nibh ligula nec sem duis aliquam convallis nunc proin at,2,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo
Automated,3723990266,Expanded,5933,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,2,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum
Synchronised,6132302697,foreground,9039,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,5,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent
challenge,4609185598,Balanced,3681,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus,4,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla
stable,3546824733,empowering,8100,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,2,vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a
systematic,4860429737,didactic,20686,suspendisse potenti in eleifend quam a odio in hac habitasse platea,1,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam
fault-tolerant,1630093742,didactic,14156,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,1,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec
Ameliorated,6745603284,success,15516,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,3,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet
reciprocal,0395031400,contextually-based,42089,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,5,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet
local,8778433290,Multi-layered,28181,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,4,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id
Ergonomic,9529708521,hub,15693,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,5,eget nunc donec quis orci eget orci vehicula condimentum curabitur
tangible,7018096774,structure,48403,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,4,accumsan felis ut at dolor quis odio consequat varius integer ac
Graphical User Interface,7126158483,project,6815,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,5,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique
Organized,6606302943,human-resource,6028,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,3,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
framework,6647660674,Reactive,28301,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id,4,elit ac nulla sed vel enim sit amet nunc viverra dapibus
intranet,6999460396,foreground,34332,justo eu massa donec dapibus duis at velit eu est congue,3,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin
knowledge base,5749954889,definition,29127,neque libero convallis eget eleifend luctus ultricies eu nibh quisque,2,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue
open system,4715569787,Intuitive,14036,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,1,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum
success,6780945706,challenge,2174,mattis odio donec vitae nisi nam ultrices libero non mattis,1,pretium quis lectus suspendisse potenti in eleifend quam a odio
algorithm,3561572383,secondary,3978,luctus ultricies eu nibh quisque id justo sit amet sapien,2,felis donec semper sapien a libero nam dui proin leo odio porttitor id
Future-proofed,8911630918,Configurable,48815,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero,4,consequat lectus in est risus auctor sed tristique in tempus sit amet sem
emulation,2805081803,24 hour,15665,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,4,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas
Enterprise-wide,9879897382,heuristic,8824,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,2,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae
maximized,4219603964,array,45576,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,4,convallis nunc proin at turpis a pede posuere nonummy integer
bottom-line,4104537225,Ergonomic,49515,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,3,eleifend luctus ultricies eu nibh quisque id justo sit amet
Self-enabling,5260229371,installation,41728,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,3,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis
Expanded,6903618600,Extended,47945,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,5,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit
directional,0969061714,Cross-platform,34472,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam,1,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula
Profit-focused,9250392699,Profit-focused,3035,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,4,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat
systematic,1650013922,reciprocal,17682,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,4,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices
interactive,8456493333,dynamic,4539,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,2,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan
collaboration,2043638912,homogeneous,21981,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,4,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue
high-level,3816293646,hardware,18224,leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,4,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut
multi-state,4365304305,attitude,35213,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio,2,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi
solution,4701755397,knowledge user,10789,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat,4,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat
hub,0024220833,superstructure,41465,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum,1,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam
knowledge base,2385752344,standardization,42129,venenatis lacinia aenean sit amet justo morbi ut odio cras mi,2,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla
Enhanced,2932173723,flexibility,46065,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,5,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus
Horizontal,5138477412,secondary,42607,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula,2,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien
website,6358989960,Persistent,17286,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,4,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat
eco-centric,5729661118,Versatile,43166,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,1,lectus vestibulum quam sapien varius ut blandit non interdum in ante
benchmark,6238994525,even-keeled,12673,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,1,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis
Pre-emptive,6473973419,collaboration,15212,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,4,vitae mattis nibh ligula nec sem duis aliquam convallis nunc
installation,7649802183,motivating,49937,molestie sed justo pellentesque viverra pede ac diam cras pellentesque,2,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed
instruction set,5833065593,Phased,4779,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,4,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
monitoring,6254298368,website,6272,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,4,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl
reciprocal,7411664391,bi-directional,44219,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,3,pede justo eu massa donec dapibus duis at velit eu est congue elementum in
scalable,2565058802,bifurcated,42358,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh,5,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec
paradigm,2564607950,throughput,47955,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,3,nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat
Cross-group,5401409362,fresh-thinking,5831,justo etiam pretium iaculis justo in hac habitasse platea dictumst,1,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum
Progressive,0512063583,methodical,16477,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien,5,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare
6th generation,4097022547,task-force,17958,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,3,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in
heuristic,4926342367,Reverse-engineered,13443,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,4,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus
implementation,2180201907,Stand-alone,6089,sit amet eros suspendisse accumsan tortor quis turpis sed ante,2,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula
directional,4163103791,Diverse,43182,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,3,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer
portal,0020040288,secondary,41574,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,1,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel
Robust,0586916660,migration,4369,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,4,nunc donec quis orci eget orci vehicula condimentum curabitur in libero
structure,5039705212,Sharable,12466,porta volutpat erat quisque erat eros viverra eget congue eget,4,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque
Up-sized,6810162593,Configurable,28897,ac neque duis bibendum morbi non quam nec dui luctus,4,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue
modular,2007896281,fresh-thinking,20957,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,4,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut
Upgradable,2346684392,Pre-emptive,26653,libero nullam sit amet turpis elementum ligula vehicula consequat morbi,1,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at
Reactive,0455550824,collaboration,46569,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,1,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper
grid-enabled,9762514491,moderator,49239,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,4,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis
optimizing,6648325313,mobile,17457,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed,3,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio
global,8068640983,upward-trending,4134,viverra eget congue eget semper rutrum nulla nunc purus phasellus,1,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu
composite,7221685991,leverage,33662,ut dolor morbi vel lectus in quam fringilla rhoncus mauris,5,etiam faucibus cursus urna ut tellus nulla ut erat id mauris
Versatile,2588562949,Universal,34003,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,5,congue etiam justo etiam pretium iaculis justo in hac habitasse platea
Enterprise-wide,2368873724,neutral,5087,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,5,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum
eco-centric,3923537719,Progressive,40583,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,4,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat
intranet,1484174143,client-server,8396,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in,4,nisl duis ac nibh fusce lacus purus aliquet at feugiat
reciprocal,6500169727,Upgradable,22775,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo,4,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar
Multi-lateral,9716408013,encryption,37999,tellus nisi eu orci mauris lacinia sapien quis libero nullam,2,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis
transitional,7766544911,secondary,16384,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo,3,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
context-sensitive,3478701236,budgetary management,11167,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget,5,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
neural-net,2136290479,artificial intelligence,36799,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,4,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac
upward-trending,7980286197,analyzing,18672,quam pharetra magna ac consequat metus sapien ut nunc vestibulum,1,lobortis est phasellus sit amet erat nulla tempus vivamus in
global,0179569864,hybrid,19511,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,2,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a
next generation,4970686602,throughput,31886,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui,2,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus
logistical,2446389066,Right-sized,47303,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,1,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat
structure,1513321137,workforce,24067,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,2,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui
firmware,6236302294,even-keeled,6656,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,5,at nulla suspendisse potenti cras in purus eu magna vulputate
reciprocal,5356751893,logistical,17449,eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea,1,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum
well-modulated,1267198966,Exclusive,4988,mi in porttitor pede justo eu massa donec dapibus duis at,2,praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit
didactic,8326654523,emulation,47764,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam,4,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus
encompassing,1807229440,strategy,17522,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,2,ac lobortis vel dapibus at diam nam tristique tortor eu
focus group,7833409022,bandwidth-monitored,17158,in felis donec semper sapien a libero nam dui proin leo odio porttitor,5,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo
flexibility,1841341282,help-desk,26157,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,4,at nunc commodo placerat praesent blandit nam nulla integer pede
responsive,9576976375,composite,49920,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,3,lorem vitae mattis nibh ligula nec sem duis aliquam convallis
bi-directional,5075542921,full-range,32159,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,5,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat
Reverse-engineered,0958130841,needs-based,1336,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,1,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique
Multi-tiered,8121959934,matrix,16391,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse,1,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula
grid-enabled,1898604401,implementation,48044,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,1,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget
project,1589475313,forecast,43008,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,4,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis
radical,5930128316,client-driven,43158,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,2,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum
capability,1493873237,Realigned,2322,suscipit nulla elit ac nulla sed vel enim sit amet nunc,4,a pede posuere nonummy integer non velit donec diam neque vestibulum
Graphical User Interface,4198772819,full-range,28031,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque,4,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea
flexibility,6415875124,secondary,36648,vestibulum ante ipsum primis in faucibus orci luctus et ultrices,1,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare
Streamlined,4793023274,Streamlined,14663,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit,4,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar
contextually-based,5857377951,real-time,3336,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,3,condimentum id luctus nec molestie sed justo pellentesque viverra pede
Re-contextualized,1319099289,stable,9917,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,2,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut
uniform,9134677801,reciprocal,16254,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,3,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris
approach,2352779960,Realigned,13586,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit,3,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet
dedicated,1028366752,flexibility,2451,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,2,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies
24/7,4524222618,Digitized,11800,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,3,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id
user-facing,6465307812,web-enabled,2718,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,5,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
fresh-thinking,9835641714,Decentralized,48540,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,5,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi
Networked,4397675740,encompassing,33572,nonummy integer non velit donec diam neque vestibulum eget vulputate,5,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus
optimal,1229765328,Intuitive,5333,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,4,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer
discrete,3514840830,regional,44981,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl,2,ac lobortis vel dapibus at diam nam tristique tortor eu
array,6941496703,Total,22964,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,3,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
benchmark,8742948215,Business-focused,9202,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,5,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis
Secured,9768573732,Cross-platform,9576,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,5,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent
Networked,4984973986,throughput,28047,donec dapibus duis at velit eu est congue elementum in,5,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque
Reactive,7978561437,systematic,41883,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,5,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum
neutral,5870018323,utilisation,15838,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,5,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat
fresh-thinking,4188877960,interface,42855,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,1,vitae ipsum aliquam non mauris morbi non lectus aliquam sit
neutral,0607609095,modular,16267,nullam porttitor lacus at turpis donec posuere metus vitae ipsum,4,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum
directional,6225865543,composite,20235,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede,5,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices
encoding,3978303795,upward-trending,9204,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero,1,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit
content-based,1442123850,Assimilated,25994,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,1,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra
foreground,9486046581,Customer-focused,7903,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,5,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue
multi-tasking,2306356726,knowledge user,16508,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,4,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar
next generation,9787957737,matrices,45636,augue a suscipit nulla elit ac nulla sed vel enim sit amet,4,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla
reciprocal,3456566050,function,39108,neque duis bibendum morbi non quam nec dui luctus rutrum nulla,2,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis
Front-line,7255230210,Organized,39016,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis,2,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit
fault-tolerant,5975553784,real-time,37172,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,4,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
fault-tolerant,0874279518,Open-source,12464,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,5,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris
optimizing,2250549125,next generation,49410,morbi vel lectus in quam fringilla rhoncus mauris enim leo,3,erat volutpat in congue etiam justo etiam pretium iaculis justo in
focus group,3314829175,De-engineered,30062,congue eget semper rutrum nulla nunc purus phasellus in felis donec,2,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec
Seamless,8502895338,Customer-focused,19195,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,2,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis
Reactive,6193881123,optimizing,16808,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,4,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
Organized,4169209230,non-volatile,34344,nam dui proin leo odio porttitor id consequat in consequat,3,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie
scalable,8794834342,Focused,37417,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,4,at nunc commodo placerat praesent blandit nam nulla integer pede justo
secondary,0197132278,Enhanced,18831,id consequat in consequat ut nulla sed accumsan felis ut at,5,posuere cubilia curae nulla dapibus dolor vel est donec odio justo
standardization,8494866680,context-sensitive,26500,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,2,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum
heuristic,2961642485,grid-enabled,36383,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium,1,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices
array,7425493675,national,10197,suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,4,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
Virtual,8831376063,projection,42997,convallis nulla neque libero convallis eget eleifend luctus ultricies eu,2,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique
Configurable,1817673866,Synchronised,15949,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,1,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit
strategy,2234038197,transitional,15286,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in,3,consequat in consequat ut nulla sed accumsan felis ut at dolor
analyzer,8390362449,Expanded,43012,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla,5,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi
mobile,7320280353,non-volatile,42289,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,3,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien
web-enabled,5960247437,well-modulated,25466,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,5,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices
